EventName,EventDate,Id,Category,Price
Cabaret,2024-04-06T14:30:00,39348,General Admission - Wheelchair Accessible *Standard,$65.00
Cabaret,2024-04-06T14:30:00,39348,VIP *Standard,$85.00
Cabaret,2024-04-06T14:30:00,39348,VIP - Wheelchair Accessible *Standard,$85.00
Cabaret,2024-04-07T14:30:00,39350,General Admission *Standard,$65.00
Cabaret,2024-04-07T14:30:00,39350,General Admission - Wheelchair Accessible *Standard,$65.00
Cabaret,2024-04-07T14:30:00,39350,VIP *Standard,$85.00
Cabaret,2024-04-07T14:30:00,39350,VIP - Wheelchair Accessible *Standard,$85.00
Cabaret,2024-04-06T19:30:00,39349,General Admission *Standard,$65.00
Cabaret,2024-04-06T19:30:00,39349,VIP - Wheelchair Accessible *Standard,$85.00
Cabaret,2024-04-05T19:30:00,39347,General Admission *Standard,$65.00
Cabaret,2024-04-05T19:30:00,39347,General Admission - Wheelchair Accessible *Standard,$65.00
Cabaret,2024-04-05T19:30:00,39347,VIP *Standard,$85.00
Cabaret,2024-04-05T19:30:00,39347,VIP - Wheelchair Accessible *Standard,$85.00
